Search Query,Business Name,Rating,Review Count,Category,Phone Number,Website,Address,Google Maps URL,Scraped At
house cleaning in Austin TX,Results,4.8,1183,N/A,+1 512-258-4798,https://www.boardwalkcleaning.com/?utm_campaign=gmb,"9003 Capitol Dr, Austin, TX 78753, United States","https://www.google.com/maps/place/The+Boardwalk+Cleaning+Co./@30.3539182,-97.7409003,11z/data=!4m10!1m2!2m1!1shouse+cleaning+in+Austin+TX!3m6!1s0x8644c96004c506df:0x71a73cb3336bf502!8m2!3d30.3556257!4d-97.6919743!15sChtob3VzZSBjbGVhbmluZyBpbiBBdXN0aW4gVFhaHSIbaG91c2UgY2xlYW5pbmcgaW4gYXVzdGluIHR4kgEWaG91c2VfY2xlYW5pbmdfc2VydmljZeABAA!16s%2Fg%2F11gw37mm22?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",2026-08-31 16:10:08
house cleaning in Austin TX,Results,4.9,1508,N/A,+1 512-686-5034,http://www.maidsandmoore.com/,"8120 Research Blvd #110, Austin, TX 78758, United States","https://www.google.com/maps/place/Maids+and+Moore+Cleaning+Austin/@30.3556257,-97.9803654,11z/data=!3m1!5s0x8644cbc94337b945:0xcd3e9044306fa98e!4m10!1m2!2m1!1shouse+cleaning+in+Austin+TX!3m6!1s0x8644ca2c59082a65:0x197383ab68f0bf4f!8m2!3d30.3532973!4d-97.7154955!15sChtob3VzZSBjbGVhbmluZyBpbiBBdXN0aW4gVFhaHSIbaG91c2UgY2xlYW5pbmcgaW4gYXVzdGluIHR4kgEWaG91c2VfY2xlYW5pbmdfc2VydmljZeABAA!16s%2Fg%2F1tdv_8cx?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",2026-08-31 16:10:13
house cleaning in Austin TX,Results,4.7,580,N/A,+1 512-582-2340,https://www.austinsmaidservice.com/,"8711 Burnet Rd # A13, Austin, TX 78757, United States","https://www.google.com/maps/place/Austin's+Maid+Service/@30.3556257,-97.9803654,11z/data=!4m10!1m2!2m1!1shouse+cleaning+in+Austin+TX!3m6!1s0x8644b50bd97665d7:0x841b42deadab964b!8m2!3d30.3693047!4d-97.7267398!15sChtob3VzZSBjbGVhbmluZyBpbiBBdXN0aW4gVFhaHSIbaG91c2UgY2xlYW5pbmcgaW4gYXVzdGluIHR4kgEWaG91c2VfY2xlYW5pbmdfc2VydmljZeABAA!16s%2Fg%2F1hc2w4cgl?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",2026-08-31 16:10:18
house cleaning in Austin TX,Results,4.9,356,N/A,+1 512-764-5521,https://www.tidyhandstx.com/,"720 Airport Blvd, Austin, TX 78702, United States","https://www.google.com/maps/place/Tidy+Hands+Cleaners:+%231+Austin+Cleaning+Services/@30.3556257,-97.9803654,11z/data=!4m10!1m2!2m1!1shouse+cleaning+in+Austin+TX!3m6!1s0xa004bd084e593a71:0x999f7a98be524d4b!8m2!3d30.2525734!4d-97.6935848!15sChtob3VzZSBjbGVhbmluZyBpbiBBdXN0aW4gVFhaHSIbaG91c2UgY2xlYW5pbmcgaW4gYXVzdGluIHR4kgEWaG91c2VfY2xlYW5pbmdfc2VydmljZeABAA!16s%2Fg%2F11rd_gyrq3?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",2026-08-31 16:10:22
house cleaning in Austin TX,Results,4.9,208,N/A,+1 512-256-0490,N/A,"901 S MoPac Expy, Austin, TX 78746, United States","https://www.google.com/maps/place/Austin+Cleaning+Crew+of+Barton+Hills/@30.3556257,-97.9803654,11z/data=!3m1!5s0x8644b533b55b9c25:0x26808c47bf9815cc!4m10!1m2!2m1!1shouse+cleaning+in+Austin+TX!3m6!1s0x8644b54d7e6598d1:0x5400169ed1dbec1e!8m2!3d30.2644982!4d-97.7821677!15sChtob3VzZSBjbGVhbmluZyBpbiBBdXN0aW4gVFhaHSIbaG91c2UgY2xlYW5pbmcgaW4gYXVzdGluIHR4kgEWaG91c2VfY2xlYW5pbmdfc2VydmljZeABAA!16s%2Fg%2F11yh3lxyrk?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",2026-08-31 16:10:25
house cleaning in Austin TX,Results,5.0,1229,N/A,+1 512-617-5979,https://www.sparklymaidaustin.com/,"200 Congress Ave. Ste 200, Austin, TX 78701, United States","https://www.google.com/maps/place/Sparkly+Maid+Austin+Cleaning+Services/@30.3556257,-97.9803654,11z/data=!4m10!1m2!2m1!1shouse+cleaning+in+Austin+TX!3m6!1s0x8323b7c9202ab531:0xc88e9a28ed3115f4!8m2!3d30.2645167!4d-97.7445675!15sChtob3VzZSBjbGVhbmluZyBpbiBBdXN0aW4gVFhaHSIbaG91c2UgY2xlYW5pbmcgaW4gYXVzdGluIHR4kgEWaG91c2VfY2xlYW5pbmdfc2VydmljZeABAA!16s%2Fg%2F11w4sbrbtg?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",2026-08-31 16:10:29
house cleaning in Austin TX,Results,4.9,492,N/A,+1 512-706-9717,http://www.sweptupcleaningco.com/,"111 Congress Ave Ste 461A, Austin, TX 78701, United States","https://www.google.com/maps/place/Swept+Up+Cleaning+Co./@30.3556257,-97.9803654,11z/data=!3m1!5s0x8644b507d472d15f:0xaa15f64791d79bd3!4m10!1m2!2m1!1shouse+cleaning+in+Austin+TX!3m6!1s0x865b4d714f308b4f:0x30bc8b605a803073!8m2!3d30.26396!4d-97.744068!15sChtob3VzZSBjbGVhbmluZyBpbiBBdXN0aW4gVFhaHSIbaG91c2UgY2xlYW5pbmcgaW4gYXVzdGluIHR4kgEWaG91c2VfY2xlYW5pbmdfc2VydmljZeABAA!16s%2Fg%2F11td929r_c?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",2026-08-31 16:10:34
house cleaning in Austin TX,Results,4.7,211,N/A,+1 512-351-1405,https://purplefigcleaning.com/,"8900 Shoal Creek Blvd Ste. 113, Austin, TX 78757, United States","https://www.google.com/maps/place/The+Purple+Fig+Eco+Cleaning+Co./@30.3556257,-97.9803654,11z/data=!4m10!1m2!2m1!1shouse+cleaning+in+Austin+TX!3m6!1s0x8644ca420283f7c3:0xeda80ac451b0d229!8m2!3d30.3761875!4d-97.7347956!15sChtob3VzZSBjbGVhbmluZyBpbiBBdXN0aW4gVFhaHSIbaG91c2UgY2xlYW5pbmcgaW4gYXVzdGluIHR4kgEWaG91c2VfY2xlYW5pbmdfc2VydmljZeABAA!16s%2Fg%2F11bbrlzjty?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",2026-08-31 16:10:38
roofing contractors in Denver CO,Results,4.8,651,N/A,+1 303-296-0361,https://www.elite-roofs.com/denver-roofers/?utm_source=GBP&utm_medium=Google&utm_campaign=GBP_Denver_Page,"5475 Peoria St #4-106, Denver, CO 80239, United States","https://www.google.com/maps/place/Elite+Roofing+%26+Solar/@39.715129,-104.9461916,12z/data=!3m1!5s0x876c7b2a5eb1b83b:0x37a4d2e3d892c839!4m10!1m2!2m1!1sroofing+contractors+in+Denver+CO!3m6!1s0x876c7ba6840b23cf:0x89e760344f2e5169!8m2!3d39.7950268!4d-104.8486736!15sCiByb29maW5nIGNvbnRyYWN0b3JzIGluIERlbnZlciBDT1oiIiByb29maW5nIGNvbnRyYWN0b3JzIGluIGRlbnZlciBjb5IBEnJvb2ZpbmdfY29udHJhY3RvcuABAA!16s%2Fg%2F1tglzgt2?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",2026-08-31 16:11:02
roofing contractors in Denver CO,Results,4.9,433,N/A,+1 720-665-9868,https://solvistaroofing.com/,"5855 E 45th Ave A-132, Denver, CO 80216, United States","https://www.google.com/maps/place/Sol+Vista+Roofing/@39.715129,-104.9461916,12z/data=!4m10!1m2!2m1!1sroofing+contractors+in+Denver+CO!3m6!1s0x876c7b55abebb7ad:0x5683997303fc140b!8m2!3d39.778926!4d-104.9193318!15sCiByb29maW5nIGNvbnRyYWN0b3JzIGluIERlbnZlciBDT1oiIiByb29maW5nIGNvbnRyYWN0b3JzIGluIGRlbnZlciBjb5IBEnJvb2ZpbmdfY29udHJhY3RvcuABAA!16s%2Fg%2F11n5gr7rky?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",2026-08-31 16:11:06
