name,company,email,category
Talent Team,rtCamp,hiring@rtcamp.com,wordpress
Hiring Team,Multidots,careers@multidots.com,wordpress
Recruitment Team,10up,jobs@10up.com,wordpress
Hiring Manager,Charle Agency,hello@charleagency.com,shopify
Partnership Team,We Make Websites,hello@wemakewebsites.com,shopify
Engineering Team,Tighten,hello@tighten.co,laravel_react
Hiring Team,Bacancy Technology,career@bacancy.com,laravel_react
Talent Acquisition,Brainvire Infotech,careers@brainvire.com,shopify
HR Team,MindInventory,career@mindinventory.com,fullstack
HR Team,Konstant Infosolutions,hr@konstantinfo.com,laravel_react
Recruitment Team,Yudiz Solutions,career@yudiz.com,fullstack
